lemma,count
raffen,9
bürsten,9
qualmen,9
dämmen,9
knöpfen,9
knutschen,9
trampeln,9
schwärzen,8
heucheln,8
balgen,8
ballern,8
schaben,8
kurbeln,8
stöbern,8
flechten,8
ekeln,8
schmatzen,8
spionieren,8
wetzen,8
mauern,8
schnüffeln,7
gaukeln,7
sprenkeln,7
naschen,7
baggern,7
grämen,7
löffeln,7
kriminalisieren,7
hauchen,7
plappern,7
turnen,7
quatschen,7
rappeln,7
walzen,7
päppeln,7
eifern,6
scharren,6
patzen,6
schwindeln,6
zausen,6
martern,6
spulen,6
räuchern,6
häuten,6
kurieren,6
ritzen,6
schrammen,6
bummeln,6
scheuchen,6
stempeln,6
pferchen,6
fauchen,6
sühnen,5
kleckern,5
fummeln,5
pudern,5
stauchen,5
tunken,5
leimen,5
satteln,5
misten,5
pfuschen,5
wässern,5
buttern,5
drillen,5
posaunen,5
spießen,5
brühen,5
dörren,5
cremen,5
lausen,4
fetzen,4
poppen,4
splittern,4
kloppen,4
stanzen,4
härten,4
kugeln,4
neiden,4
spornen,4
haaren,4
schnauben,4
träufeln,3
rotten,3
mengen,3
knoten,3
zetteln,3
booten,3
schwatzen,3
militarisieren,3
keltern,3
bauschen,3
ölen,3
gabeln,3
leiern,3
hätscheln,3
pellen,2
krümeln,2
schnäuzen,2
stückeln,2
hobeln,2
haspeln,2
knittern,2
krampfen,2
haschen,2
kitten,2
trompeten,2
radieren,2
fächeln,2
schachteln,2
wringen,2
lochen,2
sengen,2
löten,2
kreuzigen,2
balsamieren,1
stippen,1
staffieren,1
salben,1
pfropfen,1
säuern,1
zinken,1
hexen,1
nässen,1
nieten,1
rammeln,1
pfänden,1
schlitzen,1
